"#Table","","","","","","","","","",""
"objid","specobjid","type","ra","dec","u","g","r","i","z","redshift"
"1.2376486739971E+18","3.9188796282611E+17","GALAXY","248.06417200685","-0.049932137870243","17.1532","15.8019","15.1817","14.8092","14.5304","0.0440232"
"1.2376487040685E+18","3.9188851258192E+17","GALAXY","248.05051385419","-0.30404358432097","18.5637","16.7233","15.7962","15.3709","15.0012","0.070082"
"1.2376487040686E+18","3.9187916673308E+17","GALAXY","248.29536815806","-0.2132699336897","16.633","15.3273","14.6805","14.33","14.1088","0.0251725"
"1.2376555502072E+18","3.9187421893076E+17","GALAXY","248.27534069722","-0.18905787846855","17.5638","16.4444","15.9694","15.7221","15.5525","0.0255521"
"1.2376555604039E+18","3.919550330354E+17","GALAXY","248.92008061225","0.33141493337161","16.3367","14.2711","13.3383","12.9033","12.5465","0.0246976"
"1.2376622257061E+18","","GALAXY","254.76780346592","16.715490659089","17.9609","16.1939","15.2671","14.7979","14.4756",""
"1.2376623067447E+18","","GALAXY","256.02227278624","16.763670262514","18.0458","16.0593","15.1123","14.6385","14.2701",""
"1.2376623416312E+18","","GALAXY","256.38420275652","17.304154523321","18.9135","16.9216","15.9114","15.4368","15.0553",""
"1.2376683368648E+18","2.8519122375373E+18","GALAXY","249.85968581587","11.210578683661","16.595","15.2352","14.6218","14.2629","14.0466","0.0231761"
